produto,categoria,quantidade,preco_unitario,data_venda
Notebook Dell,Informática,3,2999.90,2024-01-05
Mouse Logitech,Periféricos,15,89.90,2024-01-07
Teclado Mecânico,Periféricos,8,249.90,2024-01-10
Monitor LG 24",Informática,5,1099.90,2024-01-12
Notebook Dell,Informática,2,2999.90,2024-01-15
Headset Sony,Áudio,10,199.90,2024-01-18
Webcam Full HD,Periféricos,6,349.90,2024-01-20
Mouse Logitech,Periféricos,20,89.90,2024-02-01
SSD 512GB,Informática,12,399.90,2024-02-03
Headset Sony,Áudio,7,199.90,2024-02-05
Teclado Mecânico,Periféricos,4,249.90,2024-02-08
Monitor LG 24",Informática,3,1099.90,2024-02-10
Webcam Full HD,Periféricos,9,349.90,2024-02-14
SSD 512GB,Informática,8,399.90,2024-02-20
Notebook Dell,Informática,1,2999.90,2024-02-25
